name	old_url	reason	final_url
Betty Lyon	https://camellia.iflora.cn/Cutivars/Detail?latin=Betty%20Lyon	redirect_404	https://camellia.iflora.cn/Error/Error404
Betty M. Lee	https://camellia.iflora.cn/Cutivars/Detail?latin=Betty%20M.%20Lee	redirect_404	https://camellia.iflora.cn/Error/Error404
Betty's Pink Organdie	https://camellia.iflora.cn/Cutivars/Detail?latin=Betty%27s%20Pink%20Organdie	redirect_404	https://camellia.iflora.cn/Error/Error404
Bev Piet's Smile	https://camellia.iflora.cn/Cutivars/Detail?latin=Bev%20Piet%27s%20Smile	redirect_404	https://camellia.iflora.cn/Error/Error404
Beverly Parkes-Davis	https://camellia.iflora.cn/Cutivars/Detail?latin=Beverly%20Parkes-Davis	redirect_404	https://camellia.iflora.cn/Error/Error404
Bicentenary Joy	https://camellia.iflora.cn/Cutivars/Detail?latin=Bicentenary%20Joy	redirect_404	https://camellia.iflora.cn/Error/Error404
Big Wheel	https://camellia.iflora.cn/Cutivars/Detail?latin=Big%20Wheel	redirect_404	https://camellia.iflora.cn/Error/Error404
Bigg Al's	https://camellia.iflora.cn/Cutivars/Detail?latin=Bigg%20Al%27s	redirect_404	https://camellia.iflora.cn/Error/Error404
Bill J	https://camellia.iflora.cn/Cutivars/Detail?latin=Bill%20J	redirect_404	https://camellia.iflora.cn/Error/Error404
Bill La Rose	https://camellia.iflora.cn/Cutivars/Detail?latin=Bill%20La%20Rose	redirect_404	https://camellia.iflora.cn/Error/Error404
Billy Hardwick	https://camellia.iflora.cn/Cutivars/Detail?latin=Billy%20Hardwick	redirect_404	https://camellia.iflora.cn/Error/Error404
Bishonen (Beautiful Boy)	https://camellia.iflora.cn/Cutivars/Detail?latin=Bishonen%20%28Beautiful%20Boy%29	redirect_404	https://camellia.iflora.cn/Error/Error404
Blue Bird	https://camellia.iflora.cn/Cutivars/Detail?latin=Blue%20Bird	redirect_404	https://camellia.iflora.cn/Error/Error404
Blue Twilight	https://camellia.iflora.cn/Cutivars/Detail?latin=Blue%20Twilight	redirect_404	https://camellia.iflora.cn/Error/Error404
Blush Eidson	https://camellia.iflora.cn/Cutivars/Detail?latin=Blush%20Eidson	redirect_404	https://camellia.iflora.cn/Error/Error404
Boglisco	https://camellia.iflora.cn/Cutivars/Detail?latin=Boglisco	redirect_404	https://camellia.iflora.cn/Error/Error404
Bombshell	https://camellia.iflora.cn/Cutivars/Detail?latin=Bombshell	redirect_404	https://camellia.iflora.cn/Error/Error404
Botan-Yuki	https://camellia.iflora.cn/Cutivars/Detail?latin=Botan-Yuki	redirect_404	https://camellia.iflora.cn/Error/Error404
Bozzoni Nova	https://camellia.iflora.cn/Cutivars/Detail?latin=Bozzoni%20Nova	redirect_404	https://camellia.iflora.cn/Error/Error404
Braxton Bragg	https://camellia.iflora.cn/Cutivars/Detail?latin=Braxton%20Bragg	redirect_404	https://camellia.iflora.cn/Error/Error404
Brian Anderton	https://camellia.iflora.cn/Cutivars/Detail?latin=Brian%20Anderton	redirect_404	https://camellia.iflora.cn/Error/Error404
Bride's Blush	https://camellia.iflora.cn/Cutivars/Detail?latin=Bride%27s%20Blush	redirect_404	https://camellia.iflora.cn/Error/Error404
Bridget Gette Hillary	https://camellia.iflora.cn/Cutivars/Detail?latin=Bridget%20Gette%20Hillary	redirect_404	https://camellia.iflora.cn/Error/Error404
Brie	https://camellia.iflora.cn/Cutivars/Detail?latin=Brie	redirect_404	https://camellia.iflora.cn/Error/Error404
Bright Bob	https://camellia.iflora.cn/Cutivars/Detail?latin=Bright%20Bob	redirect_404	https://camellia.iflora.cn/Error/Error404
Bright Leaf Pink	https://camellia.iflora.cn/Cutivars/Detail?latin=Bright%20Leaf%20Pink	redirect_404	https://camellia.iflora.cn/Error/Error404
Bright Red Gown	https://camellia.iflora.cn/Cutivars/Detail?latin=Bright%20Red%20Gown	redirect_404	https://camellia.iflora.cn/Error/Error404
Brocade Gown Red	https://camellia.iflora.cn/Cutivars/Detail?latin=Brocade%20Gown%20Red	redirect_404	https://camellia.iflora.cn/Error/Error404
Bruce Green	https://camellia.iflora.cn/Cutivars/Detail?latin=Bruce%20Green	redirect_404	https://camellia.iflora.cn/Error/Error404
Bull's Eye	https://camellia.iflora.cn/Cutivars/Detail?latin=Bull%27s%20Eye	redirect_404	https://camellia.iflora.cn/Error/Error404
Butterfly Pink	https://camellia.iflora.cn/Cutivars/Detail?latin=Butterfly%20Pink	redirect_404	https://camellia.iflora.cn/Error/Error404
Butterfly Spring	https://camellia.iflora.cn/Cutivars/Detail?latin=Butterfly%20Spring	redirect_404	https://camellia.iflora.cn/Error/Error404
Buttons 'n Bows	https://camellia.iflora.cn/Cutivars/Detail?latin=Buttons%20%27n%20Bows	redirect_404	https://camellia.iflora.cn/Error/Error404
C. C. Rutcher	https://camellia.iflora.cn/Cutivars/Detail?latin=C.%20C.%20Rutcher	redirect_404	https://camellia.iflora.cn/Error/Error404
C. R. Pope	https://camellia.iflora.cn/Cutivars/Detail?latin=C.%20R.%20Pope	redirect_404	https://camellia.iflora.cn/Error/Error404
California Donckelarii Red	https://camellia.iflora.cn/Cutivars/Detail?latin=California%20Donckelarii%20Red	redirect_404	https://camellia.iflora.cn/Error/Error404
California Donckelarii Variegated	https://camellia.iflora.cn/Cutivars/Detail?latin=California%20Donckelarii%20Variegated	redirect_404	https://camellia.iflora.cn/Error/Error404
Camellia T	https://camellia.iflora.cn/Cutivars/Detail?latin=Camellia%20T	redirect_404	https://camellia.iflora.cn/Error/Error404
Camwood Brenda	https://camellia.iflora.cn/Cutivars/Detail?latin=Camwood%20Brenda	redirect_404	https://camellia.iflora.cn/Error/Error404
Capricci Blush Stripe	https://camellia.iflora.cn/Cutivars/Detail?latin=Capricci%20Blush%20Stripe	redirect_404	https://camellia.iflora.cn/Error/Error404
Capt. Doug Simon	https://camellia.iflora.cn/Cutivars/Detail?latin=Capt.%20Doug%20Simon	redirect_404	https://camellia.iflora.cn/Error/Error404
